#name=My Vocab N2 (1)
#description=My JLPT N2
JP;JP_KANA;RU
相変わらず;あいかわらず;по-прежнему, по-старому, как всегда
;アイディア;идея, замысел, намерение
曖昧;あいまい;неясный, туманный, рассеянный, двусмысленный, подозрительный
遭う;あう;иметь опыт, сталкиваться с чем-л.
扇ぐ;あおぐ;раздуть, обмахнуть, веять
青白い;あおじろい;бледный, тусклый (зеленовато-белый)
明き;あき;пустота, свободное время, вакансия 
呆れる;あきれる;быть шокированным, чувствовать отвращение
;アクセント;акцент, ударение
;あくび;зевота, зевок, зевание
飽くまで;あくまで;до конца, до крайних пределов, до отвращения
明け方;あけがた;рассвет
揚げる;あげる;жарить во фритюре
挙げる;あげる;поднять, повысить, возвысить, приводить (пример)
憧れる;あこがれる;жаждать, мечтать, тосковать, обожать
足跡;あしあと;следы (ног, лап)
味わう;あじわう;вкусить, попробовать, пережить, испытать, чувствовать
預かる;あずかる;взять на хранение, взять под присмотр
暖まる;あたたまる;согреваться, греться
暖める;あたためる;нагревать, подогревать, греть
当たり前;あたりまえ;нормальный, естественный, должный, разумный
;あちらこちら;тут и там, всюду, местами
厚かましい;あつかましい;бесстыжий, бессовестный, нахальный, наглый, дерзкий
圧縮;あっしゅく;сжатие (в том числе файлов), конденсирование, прессовка
宛名;あてな;адрес, адресат, получатель
当てはまる;あてはまる;быть применимым, подходить, соответствовать
当てはめる;あてはめる;применять
暴れる;あばれる;драться, биться, буянить, скандалить
脂;あぶら;жир, масло, смазка
;あぶる;обжаривать, жарит, печь, греть
溢れる;あふれる;наводняться, переполняться, наполниться, быть переполненным
雨戸;あまど;ставня
甘やかす;あまやかす;баловать, портить
余る;あまる;оставаться, быть в избытке
編物;あみもの;вязание, плетение
編む;あむ;вязать, плести
危うい;あやうい;опасный, рискованный, ненадежный
怪しい;あやしい;подозрительный, сомнительный, загадочный
荒い・粗い;あらい;грубый, резкий, суровый
粗い;あらい;грубый (о поверхности, работе), крупный (об узоре), редкий (о сети)
粗筋;あらすじ;конспект, план, краткое содержание
争う;あらそう;спорить, соревноваться, ссориться
改めて;あらためて;опять, снова
改める;あらためる;менять, исправлять, улучшать
著す;あらわす;публиковать, писать
有難い;ありがたい;желанный, хороший, добрый, благодарный
在る;ある;быть, иметься, находиться
;あれこれ;это и то, одно или другое
慌ただしい;あわただしい;торопливый, поспешный, взволнованный
慌てる;あわてる;суетиться, быть растерянным
安易;あんい;легкий, простой, легкомысленный
案外;あんがい;неожиданный, непредвиденный
;アンテナ;антенна
言い出す;いいだす;высказать, предложить, заговорить, начать говорить
言い付ける;いいつける;указывать, приказывать
意義;いぎ;значимость, значение
生き生き;いきいき;живой, оживленный
;いきなり;резко, внезапно, неожиданно
育児;いくじ;воспитание ребенка
幾分;いくぶん;в некоторой степени, некоторая часть
生け花;いけばな;икебана, искусство икебаны
以後;いご;после этого, в будущем, отныне
以降;いこう;после чего-то, со времени чего-то, с тех пор
;イコール;равный
勇ましい;いさましい;храбрый, доблестный, смелый, мужественный
衣食住;いしょくじゅう;первичные потребности (одежда, пища, жилище)
意地悪;いじわる;злобный, злой, недобрый
;いちいち;по одному, один за другим
一応;いちおう;один раз, пока, в данное время
一段と;いちだんと;ещё больше
一流;いちりゅう;первоклассный, первостепенный
佚;いつ;удобный, расслабляющий
一斉;いっせい;одновременно, все сразу, хором
一旦;いったん;однажды, временно, пока что
一定;いってい;установленный, регулярный, определенный
;いってらっしゃい;Счастливого пути! Удачного дня! Увидимся!
;いってまいります;Я пошел! Увидимся позже!
;いつのまにか;незаметно, пока никто не знает
移転;いてん;перенос, переезд
井戸;いど;колодец
緯度;いど;географическая широта, параллель
威張る;いばる;гордиться, важничать, хвастаться
嫌がる;いやがる;не любить, ненавидеть
;いよいよ;все больше и больше, в конце концов
煎る・炒る;いる;жарить, зажарить
入れ物;いれもの;контейнер, резервуар, сосуд
;インく;чернила
;インタビュー;интервью
引力;いんりょく;притяжение, сила тяжести
;ウーマン;женщина
;ウール;шерсть
;ウエートレス;официантка
植木;うえき;садовое растение
飢える;うえる;голодать, быть голодным, сильно жаждать
浮ぶ;うかぶ;всплывать, плыть, держаться на воде, приходить в голову, вспомниться
浮かべる;うかべる;спустить на воду, двигать по воде, вспомнить, представлять
浮く;うく;выплыть, плыть, быть в хорошем настроении
承る;うけたまわる;(скромно.) слышать, знать, получить (совет, информацию)
受取;うけとり;получение, принятие
受け持つ;うけもつ;отвечать, нести ответственность
薄暗い;うすぐらい;тусклый, темноватый, сумеречный
薄める;うすめる;разбавлять, сделать бледнее (тоньше, светлее)
打合せ;うちあわせ;договоренность, предварительное соглашение
打ち消す;うちけす;отрицать, отвергать, опровергать
討つ;うつ;атаковать, нападать, разрушать, уничтожать
;うっかり;небрежно, невнимательно, рассеянно, беспечно
映す;うつす;проецировать, отражать
写る;うつる;фотографировать, снять копию, дублировать, имитировать
有無;うむ;присутствие или отсутствие, да или нет, наличие
埋める;うめる・うずめる;зарыть, закопать, похоронить, наполнить
敬う;うやまう;уважать, почитать, поклоняться
裏返す;うらがえす;выворачивать наизнанку, переворачивать, перелицевать
裏口;うらぐち;чёрный ход
占う;うらなう;гадать, предсказывать
恨み;うらみ;обида, горечь, досада, злоба, ненависть вражда
恨む;うらむ;притаить злобу, сердиться
羨ましい;うらやましい;завидный
羨む;うらやむ;завидовать
売上;うりあげ;продажи, выручка от продаж
売り切れ;うりきれ;распродано
売り切れる;うりきれる;быть распроданным
売行き;うれゆき;продажи, спрос
;うろうろ;паниковать, растеряться, не находить себе места, слоняться, шататься
運河;うんが;канал (водный)
;うんと;упорно, настойчиво, изо всех сил, старательно
英文;えいぶん;предложение, произведение на английском языке
英和;えいわ;англо-японский (напр., словарь)
液体;えきたい;жидкий, жидкость
;エチケット;этикет
絵の具;えのぐ;краска
;エプロン;фартук
偉い;えらい;великий, выдающийся, известный, сильный, здорово!
宴会;えんかい;вечеринка, банкет
園芸;えんげい;садоводство
演劇;えんげき;драма, пьеса, представление, театр
円周;えんしゅう;окружность, периферия
遠足;えんそく;экскурсия, поездка, дальняя прогулка
延長;えんちょう;удлинение, расширение, пролонгация, длина
煙突;えんとつ;дымовая труба
追い掛ける;おいかける;гнаться, преследовать, догонять
追い越す;おいこす;перегнать, обогнать, опередить
;オイル;масло, нефть, топливо, бензин
応援;おうえん;помощь, поддержка, подкрепление
王女;おうじょ;принцесса
応ずる;おうずる;отвечать, подходить, устраивать
応接;おうせつ;прием, получение
応対;おうたい;получение, иметь дело с
往復;おうふく;туда и обратно (билет, поездка)
欧米;おうべい;Европа и Америка, Запад
応用;おうよう;применение, практическое использование
;オーケストラ;оркестр
;おおざっぱ;приблизительный, неточный, схематичный
大通り;おおどおり;главная улица, широкая дорога, проспект
;オートメーション;автоматизация
;オーバーコート;пальто, шинель
大凡;おおよそ;около, приблизительно, почти
お帰り;おかえり;возвращение
;おかけください;Садитесь, пожалуйста!
;おかげさまで;Спасибо! Благодаря вам! С Божьей помощью
;おかず;гарнир, пища для размышлений
拝む;おがむ;молиться
お代わり;おかわり;добавка, дополнительная порция
補う;おぎなう;компенсировать, добавлять, восполнять, наверстать
お気の毒に;おきのどくに;Мои соболезнования, Сожалею!
屋外;おくがい;на улице, вне дома, на открытом воздухе
送り仮名;おくりがな;окончание слова, написанное каной после иероглифа
怠る;おこたる;лениться, небрежно относиться
押える;おさえる;нажать, схватиться, удержать, надавать, схватить, арестовать, скрутить
お先に;おさきに;перед, предыдущий, извините, что ухожу первым
納める;おさめる;вносить, платить, снабжать, заканчивать, достигать
治める;おさめる;управлять, усмирять, уладить
惜しい;おしい;дорогой, ценный, жаль
御辞儀;おじぎ;поклон
;おしゃれ;стильный, модный, хорошо одетый
;おじゃまします;Извините, что отвлекаю
教わる;おそわる;учиться, обучиться, брать уроки
;おだいじに;Скорейшего выздоровления!
落着く;おちつく;успокаиваться, приходить в себя
手洗い;てあらい;туалет, умывальник
お出掛け;おでかけ;готовность к выходу
お手伝いさん;おてつだいさん;домработница
脅かす;おびやかす;угрожать, пугать
落し物;おとしもの;потерянная вещь
大人しい;おとなしい;спокойный, послушный
驚かす;おどろかす;удивлять, поражать, ошеломлять, пугать
各々;おのおの;каждый, всякий
お参り;おまいり;посещение храма, поклонение
;おまたせしました;Спасибо за ожидание
;おまちください;Пожалуйста, подождите минутку!
;おまちどおさま;Извините, что заставил вас ждать
;おめでたい;счастливый, радостный
思い掛けない;おもいかけない;неожиданный, случайный, непредвиденный
思い込む;おもいこむ;быть под впечатлением, твердо верить, полагать
思いっ切り;おもいっきり;решительно, вдоволь, изо всех сил
思い付く;おもいつく;придумать, затеять, прийти в голову
重たい;おもたい;тяжелый, массивный, серьёзный, важный, строгий
;おやつ;перекус, полдник
親指;おやゆび;большой палец
;オルガン;орган (муз. инструмент) 
卸す;おろす;продавать оптом
恩恵;おんけい;одолжение, благодеяние, выгода
温室;おんしつ;оранжерея, теплица, парник
温泉;おんせん;горячий минеральный источник
温帯;おんたい;умеренный пояс
蚊;か;комар, москит
;カーブ;изгиб, искривление, поворот, кривая
貝;かい;ракушка, моллюск
開会;かいかい;открытие (собрания)
会館;かいかん;зал, помещение, дом, дворец
改札;かいさつ;проверка билетов
改札口;かいさつぐち;турникет
解散;かいさん;роспуск, распад, расформирование
海水浴;かいすいよく;купание в море
回数;かいすう;частота, частотность, количество раз
回数券;かいすうけん;книга с отрывными билетами
改正;かいせい;исправление, изменение, поправка, пересмотр, улучшение
快晴;かいせい;хорошая погода
解説;かいせつ;пояснение, комментарий, толкование
改造;かいぞう;реконструкция
開通;かいつう;открытие, запуск, приведение в действие
回転;かいてん;вращение, поворот, оборот
解答;かいとう;ответ, решение
回答;かいとう;ответ, разъяснение
外部;がいぶ;внешняя часть, наружная сторона
解放;かいほう;освобождение, раскрепощение, эмансипация
開放;かいほう;открытие, расчистка
海洋;かいよう;океан
概論;がいろん;введение, очерк
帰す;かえす;отправлять обратно, возвратить домой
却って;かえって;наоборот, напротив, скорее
代える;かえる;менять, заменят
反る;かえる;возвращаться
家屋;かおく;дом, здание, строение
係わる;かかわる;иметь отношение, касаться, оказать влияние
書留;かきとめ;заказная почта
書取;かきとり;диктовка, диктант
垣根;かきね;забор, изгородь, ограда
掻く;かく;чесать
嗅ぐ;かぐ;нюхать, чувствовать запах
架空;かくう;надземный, подвесной, воздушный, вымышленный, фиктивный
