#name=My Vocab N3 (2)
#description=My JLPT N3
JP;JP_KANA;RU
正;せい;справедливость, правда, правильность
生;せい;жизнь, существование
性;せい;пол (муж., жен.)
所為;せい;вина, причина
税;ぜい;налог, пошлина, сбор
性格;せいかく;характер (человека), черта характера
正確;せいかく;точность, правильность
世紀;せいき;век, столетие
請求;せいきゅう;требование, запрос, взыскание
税金;ぜいきん;налог, пошлина, сбор
清潔;せいけつ;чистота
制限;せいげん;ограничение, предел, лимит
成功;せいこう;успех, достижения
生産;せいさん;производство
正式;せいしき;формальность, надлежащая форма (официальная)
精神;せいしん;душа, намерение, дух
成人;せいじん;взрослый
精々;せいぜい;насколько возможно
成績;せいせき;результаты, успехи, успеваемость, достижения
製造;せいぞう;производство, изготовление
贅沢;ぜいたく;роскошь, богатство, расточительность
成長;せいちょう;рост, развитие
制度;せいど;система, строй, режим, порядок
青年;せいねん;юноша, молодой человек, молодежь
製品;せいひん;готовая продукция, товар
政府;せいふ;правительство
生物;せいぶつ;живое существо, организм
生物;なまもの;сырая пища
生命;せいめい;жизнь
整理;せいり;упорядочивание, реорганизация, ликвидация, реализация, сокращение
咳;せき;кашель
石炭;せきたん;каменный уголь
責任;せきにん;ответственность, долг
石油;せきゆ;нефть, керосин
世間;せけん;общество, свет, люди, публика
説;せつ;теория, доктрина, мнение, версия
積極的;せっきょくてき;положительный, позитивный, активный
設計;せっけい;проектирование, проект, план
絶対;ぜったい;абсолютный, категорический, безусловный
;セット;комплект, набор, гарнитур, укладка (волос)
設備;せつび;оборудование, устройство, приспособление
絶滅;ぜつめつ;уничтожение, истребление
節約;せつやく;экономия, сокращение
責める;せめる;упрекать, призывать к ответу
善;ぜん;добро
全員;ぜんいん;все участники, весь штат, весь личный состав
専攻;せんこう;специализация
全国;ぜんこく;вся страна
先日;せんじつ;недавно, на днях
前者;ぜんしゃ;первый (из двух упомянутых)
選手;せんしゅ;спортсмен, игрок, член команды
前進;ぜんしん;продвижение, прогресс
;センター;центр
全体;ぜんたい;целое, всё
選択;せんたく;выбор
象;ぞう;слон
騒音;そうおん;шум
増加;ぞうか;увеличение, прибавление, рост
操作;そうさ;управление, обслуживание (напр. станка), манипулирование
想像;そうぞう;воображение, представление, предположение
相続;そうぞく;наследование
装置;そうち;оборудование, установка (действие), аппаратура
相当;そうとう;соответствовать, соответствующий, подходящий
速度;そくど;скорость
底;そこ;дно, днище, низкий курс
組織;そしき;организация, формирование, структура, строение, система, ткань (биол.)
注ぐ;そそぐ;лить, поливать, впадать (о реке), сосредотачивать усилия, уделять внимание
育つ;そだつ;расти, воспитываться
;そっくり;все целиком, полностью, быть точной копией, нетронутый
;そっと;легонько, тайком, украдкой, как есть
袖;そで;рукав
備える;そなえる;запасать, оборудовать, готовиться, обладать (напр., знаниями)
;そのうち;скоро, со временем, тем временем, среди чего-то
;そのまま;как есть, в том же виде
側;そば;сторона, рядом, поблизости
;ソファー;диван
粗末;そまつ;простой, грубый, бедный, бесцеремонный, невежливый
;それぞれ;каждый в отдельности, каждый по-своему
;それでも;тем не менее, всё же, всё-таки, несмотря на это
;それとも;или
損;そん;убыток, потери, ущерб
損害;そんがい;ущерб, повреждения, убытки
