#name=My Kanji N4
#description=My JLPT N4
KANJI;ONKUN;RUS
不;フ・ブ;не…
世;セイ・セ・よ;мир, свет, общество, век, эпоха, жизнь
主;シュウ・ぬし・おも;хозяин, главный
乗;ジョウ・の(る)・の(せる);ехать на чем-либо, садиться, сажать (пассажиров)
事;ジ・こと;дело, факт, обстоятельство
京;キョウ;столица
仕;シ・つか(える);служить кому-либо
代;ダイ・か(わる)・か(える)・だい;замещать, менять, эпоха, поколение
以;イ・もって;префикс направления, посредством, через
伝;デン・つた(える)・つた(わる);передавать, передаваться
低;テイ・ひく(い);низкий
体;タイ・テイ・からだ;тело, организм
作;サク・サ・つく(る);делать, изготовлять, создавать
使;シ・つか(う);употреблять, использовать, применять
便;ベン・ビン・たよ(り);удобство,(мед) стул, почта, доставка, вести, известия
借;シャク・か(りる);брать в долг
働;ドウ・はたら(く);работать
元;ゲン・ガン・もと;начало, источник, происхождение
兄;ケイ・キョウ・あに;старший брат
光;コウ・ひか(る)・ひかり;сиять, светиться, свет, сияние
全;ゼン・すべ(て)・まった(く);полностью, все, совершенно
公;コウ・ク・おおやけ;общественный, публичный, открытый
内;ナイ・ダイ・うち;внутри, среди, между
写;シャ・うつ(す)・うつ(る);копировать, фотографировать, получаться о фотографии
冬;トウ・ふゆ;зима
切;セツ・サイ・き(る)・き(れる);резать, быть острым, кончаться, истощаться
別;ベツ・わか(れる)・わ(ける);отдельный, разделяться, отделяться, делить
利;リ・き(く);выгода, преимущество, польза, действовать, оказывать влияние
力;リョク・リキ・ちから;сила, мощь
勉;ベン・つと(める);стараться, ревностно трудиться
動;ドウ・うご(く)・うご(かす);двигаться, работать, двигать
区;ク;район города
医;イ;врач, медицина
去;キョ・さ(る);уходить, покидать
取;シュ・と(る);брать
受;ジュ・う(ける)・う(かる);принимать, получать, сдавать (экзамен)
台;ダイ・タイ;подставка, сцена, счетный суффикс машин
合;ゴウ・あう・あわせる;соединяться, подходить, совпадать, соединять, совмещать
同;ドウ・おな(じ);одинаковый, такой же
味;ミ・あじ・あじ(わう);вкус, смаковать
呼;コ・よ(ぶ);звать
品;ヒン・しな;товар
員;イン;сотрудник, член персонала, суффикс профессий
問;モン・と(う);вопрос, задавать вопрос
回;カイ・まわ(る)・まわ(す);раз, суффикс разов, вращаться, вращать, поворачивать
困;コン・こま(る);трудности, быть в затруднении
図;ズ・ト・はか(る);чертеж, план, карта, планировать, замышлять
園;エン・その;сад, парк
地;チ・ジ;земля, почва, местность
堂;ドウ;зал
場;ジョウ・ば;место (нахождение)
声;セイ・ショウ・こえ;голос
売;バイ・う(る)・う(れる);продавать, продаваться
変;ヘン・か(わる)・か(える);странный, меняться, менять
夏;カ・なつ;лето
太;タイ・ふと(い)・ふと(る);толстый, толстеть
好;コウ・す(き)・す(く)・この(む);любимый, любить, предпочитать
妹;マイ・いもうと;младшая сестра
姉;シ・あね;старшая сестра
始;シ・はじ(まり)・はじ(める)・はじ(まる);начало, начинать, начинаться
字;ジ・あざ;буква, часть населенного пункта
室;シツ・むろ;комната, теплица, помещение, суф. помещений
寒;カン・さむ(い);холодный
寝;シン・ね(る);ложиться спать
屋;オク・や;крыша, дом, суф. заведений и профессий
工;コウ・ク;техника
市;シ・いち;город, рынок
席;セキ・むしろ;место для сидения, циновка
帰;キ・かえ(る)・かえ(す);возвращаться домой, возвращать домой
度;ド・たび;градус, степень, раз, после гл. каждый раз
座;ザ・すわ(る);сидение, сидеть
建;ケン・コン・た(てる)・た(つ);строить, быть построенным
