#name=My Vocab N2 (2)
#description=My JLPT N2
JP;JP_KANA;RU
先端;せんたん;острие, наконечник, авангард, передовой, вершина
;センチ;сантиметр
宣伝;せんでん;пропаганда, реклама
先頭;せんとう;главенство, лидерство
全般;ぜんぱん;весь, всё, всеобщий
扇風機;せんぷうき;электровентилятор
線路;せんろ;линия, железнодорожный путь
相違;そうい;разница, отклонение
雑巾;ぞうきん;тряпка
増減;ぞうげん;увеличение и снижение, подъем и падение, колебание
倉庫;そうこ;склад, кладовая
相互;そうご;взаимность
創作;そうさく;творчество, оригинальное произведение
葬式;そうしき;похороны
造船;ぞうせん;судостроение, кораблестроение
騒々しい;そうぞうしい;шумный, беспокойный
増大;ぞうだい;увеличение, расширение
;そうっと;мягко, тихо, тайком
送別;そうべつ;проводы
草履;ぞうり;дзори (японские сандалии)
総理大臣;そうりだいじん;премьер-министр
送料;そうりょう;пересылка, плата за пересылку
属する;ぞくする;относиться (к клубу, партии), принадлежать, быть подчиненным
続々;ぞくぞく;один за другим, непрерывно, последовательно
速達;そくたつ;срочная доставка
測定;そくてい;измерение, межевание, съёмка
測量;そくりょう;измерение, топографическая съёмка, межевание
速力;そくりょく;скорость, быстрота
素質;そしつ;одаренность, натура, задатки, предрасположение
祖先;そせん;предок, прародитель
;そそっかしい;необдуманный, опрометчивый, рассеянный
卒直;そっちょく;откровенность, искренность, прямота
具える;そなえる;приготовиться, оборудовать, запастись
;そのうえ;в добавок, кроме того
;そのころ;в то время, тогда
;そのため;поэтому, из-за этого, за это
;そのほか;кроме того, помимо
蕎麦;そば;соба (гречневая лапша)
剃る;そる;брить, бриться
;それなのに;тем не менее, несмотря на, и всё же
逸れる;それる;отклониться, свернуть в сторону, пролететь мимо
揃う;そろう;быть подобранным, подойти, стать полным, собраться
揃える;そろえる;подобрать, прибрать, привести в порядок, сделать равным, укомплектоваться
算盤;そろばん;счёты, расчёт
存じる;ぞんじる;знать, думать (уваж.)
存ずる;ぞんずる;знать, думать (уваж.)
損得;そんとく;преимущества и недостатки, потери и приобретения
田んぼ;たんぼ;рисовое поле, ферма
第一;だいいち;первый, самый, номер один
大学院;だいがくいん;аспирантура
大工;だいく;плотник
体系;たいけい;система, организация, структура
太鼓;たいこ;барабан
対策;たいさく;контрмеры, ответные мероприятия
大して;たいして;не очень (с отриц.)
対照;たいしょう;контраст, сравнение, противопоставление
大小;だいしょう;размер, величина
体制;たいせい;система, структура, организация, строй
体積;たいせき;вместимость, ёмкость, объём
大層;たいそう;очень, чрезвычайно
体操;たいそう;гимнастика, гимнастические упражнения
大木;たいぼく;большое дерево
題名;だいめい;заглавие
